sub_id cluster_1
nora_n015t1 3.449986153  
nora_n017t1 91.9922518  
nora_n018t1 -39.6466697  
nora_n021t1 31.33480083  
nora_n022t1 36.13859079  
nora_n027t1 -25.78842308  
nora_n028t1 44.4388656  
nora_n029t1 10.54944838  
nora_n031t1 5.550072583  
nora_n032t1 -14.46762091  
nora_n033t1 -11.50269449  
nora_n034t1 11.74743067  
nora_n035t1 24.79429174  
nora_n036t1 4.145520777  
nora_n037t1 -20.30739543  
nora_n041t1 26.79463552  
nora_n042t1 17.63842608  
nora_n044t1 10.85978054  
nora_n046t1 14.66279194  
nora_n048t1 -13.74270192  
nora_n049t1 -34.03150664  
nora_n050t1 19.84538017  
nora_n054t1 14.6773918  
nora_n055t1 -3.626864458  
nora_n058t1 4.19284182  
nora_n059t1 -1.817368909  
nora_n060t1 39.23305901  
nora_n064t1 -34.71132166  
nora_n066t1 -32.81701654  
nora_n069t1 36.63114473  
nora_n070t1 -4.493267389  
nora_n071t1 1.294793776  
nora_n072t1 -3.02893812  
nora_n075t1 -113.1640292  
nora_n077t1 -47.47896496  
nora_n080t1 -15.80581988  
nora_n086t1 43.36844645  
nora_n088t1 -6.630331053  
nora_n092t1 -4.83056407  
nora_n095t1 -12.15413801  
nora_n096t1 -50.50974001  
nora_n097t1 13.97120537  
nora_n098t1 -31.63594201  
nora_n099t1 7.12735623  
nora_n100t1 -10.14909969  
nora_n101t1 12.12982372  
nora_n103t1 -12.18770268  
nora_n104t1 -19.52355667  
nora_n107t1 29.79161013  
nora_n108t1 1.064489921  
nora_n111t1 -33.63975568  
nora_n112t1 -7.928154354  
nora_n114t1 -6.35769794  
nora_n115t1 -15.55210988  
nora_n116t1 -13.94904557  
nora_n120t1 -5.769645318  
nora_n121t1 5.706609369  
nora_n123t1 18.75949337  
nora_n127t1 12.70798594  
nora_n134t1 -15.75874489  
nora_n139t1 35.57604215  
nora_n141t1 -15.98139977  
nora_n142t1 20.40172903  
nora_n143t1 -23.4321786  
nora_n147t1 -8.231812281  
nora_n148t1 -11.71044052  
nora_n149t1 0.6398629597  
nora_n150t1 22.72403009  
nora_n151t1 26.41299537  
nora_n154t1 -3.07487174  
nora_n155t1 -5.361081031  
nora_n157t1 12.90624503  
nora_n159t1 18.96465183  
nora_n160t1 -20.47127772  
nora_n161t1 44.40691467  
nora_n163t1 13.81094129  
nora_n164t1 32.80965004  
nora_n170t1 56.31166289  
nora_n171t1 -19.35431794  
nora_n174t1 38.1700456  
nora_n175t1 -4.825057662  
nora_n180t1 -21.97744228  
nora_n181t1 -17.58557371  
nora_n182t1 12.15499856  
nora_n183t1 16.11171028  
nora_n184t1 33.54165447  
nora_n185t1 -45.06801102  
nora_n187t1 4.761939539  
nora_n192t1 21.3647063  
nora_n193t1 6.173621066  
nora_n194t1 -21.9575198  
nora_n195t1 1.879164168  
nora_n196t1 -40.02026721  
nora_n197t1 4.174847882  
nora_n199t1 17.00728663  
